PG.ProteinGroups,A_manual,B_manual
A0PJW6,1,1
A1X283,1,1
L0R6Q1,1,1
O00330,1,1
O00487,1,1
O00571,1,1
O00622,1,1
O13516,1,1
O14561,1,1
O14579,1,1
O14657,1,1
O14818,1,1
O14893,1,1
O14929,1,1
O14949,1,1
O14981,1,1
O15014,1,1
O15061,1,1
O15091,1,1
O15160,1,1
O15212,1,1
O15355,1,1
O15400,1,1
O15460,1,1
O15504,1,1
O15511,1,1
O15533,1,1
O43172,1,1
O43324,1,1
O43665,1,1
O43678,1,1
O43837,1,1
O60231,1,1
O60264,1,1
O60294,1,1
O60502,1,1
O60518,1,1
O60671,1,1
O60828,1,1
O60884,1,1
O60921,1,1
O74700,1,1
O75330,1,1
O75352,1,1
O75390,1,1
O75419,1,1
O75643,1,1
O75794,1,1
O75821,1,1
O75915,1,1
O94822,1,1
O94855,1,1
O95197,1,1
O95292,1,1
O95563,1,1
O95671,1,1
O95674,1,1
P00045,1,1
P00127,1,1
P00330,1,1
P00359,1,1
P00370,1,1
P00374,1,1
P00387,1,1
P00393,1,1
P00424,1,1
P00448,1,1
P00490,1,1
P00498,1,1
P00509,1,1
P00546,1,1
P00562,1,1
P00582,1,1
P00724,1,1
P00729,1,1
P00761,1,1
P00864,1,1
P00887,1,1
P00924,1,1
P00926,1,1
P00946,1,1
P00957,1,1
P01120,1,1
P02309,1,1
P02400,1,1
P02406,1,1
P02533,1,1
P02749,1,1
P02925,1,1
P02942,1,1
P02943,1,1
P03004,1,1
P04036,1,1
P04079,1,1
P04161,1,1
P04216,1,1
P04335,1,1
P04406,1,1
P04449,1,1
P04650,1,1
P04693,1,1
P04801,1,1
P04803,1,1
P04840,1,1
P04951,1,1
P05055,1,1
P05318,1,1
P05374,1,1
P05459,1,1
P05626,1,1
P05704,1,1
P05706,1,1
P05743,1,1
P06100,1,1
P06103,1,1
P06129,1,1
P06168,1,1
P06627,1,1
P06704,1,1
P06710,1,1
P06968,1,1
P06983,1,1
P06992,1,1
P06993,1,1
P06996,1,1
P07004,1,1
P07012,1,1
P07014,1,1
P07024,1,1
P07143,1,1
P07205,1,1
P07255,1,1
P07260,1,1
P07273,1,1
P07285,1,1
P07342,1,1
P07560,1,1
P07806,1,1
P07813,1,1
P08018,1,1
P08244,1,1
P08312,1,1
P08395,1,1
P08679,1,1
P08839,1,1
P08997,1,1
