R.Condition,cumulative frequency,CV_cut,level,cumulative frequency proportion
HYE mix A,231,0.01,peptide level,0.002014353
HYE mix B,355,0.01,peptide level,0.003095651
HYE mix A,59,0.01,protein level,0.005869479
HYE mix B,103,0.01,protein level,0.010246717071229606
HYE mix A,1315,0.02,peptide level,0.011466989893352634
HYE mix B,1881,0.02,peptide level,0.016402591626917342
HYE mix A,341,0.02,protein level,0.033923597
HYE mix B,527,0.02,protein level,0.052427378
HYE mix A,3188,0.03,peptide level,0.027799820365025246
HYE mix B,4429,0.03,peptide level,0.03862152
HYE mix A,862,0.03,protein level,0.085754079
HYE mix B,1175,0.03,protein level,0.11689216076402706
HYE mix A,5835,0.04,peptide level,0.050882042606625565
HYE mix B,7877,0.04,peptide level,0.068688577
HYE mix A,1464,0.04,protein level,0.14564265817747712
HYE mix B,1969,0.04,protein level,0.19588141663350578
HYE mix A,8950,0.05,peptide level,0.078045292
HYE mix B,11753,0.05,peptide level,0.10248785719891522
HYE mix A,2126,0.05,protein level,0.21150019896538003
HYE mix B,2681,0.05,protein level,0.2667130919220056
...,...,...,...,...
HYE mix A,114091,1,peptide level,0.9948899953783235
HYE mix B,114108,1,peptide level,0.9950382378332185
HYE mix A,10026,1,protein level,0.9974134500596896
HYE mix B,10026,1,protein level,0.9974134500596896
HYE mix A,114677,2,peptide level,1
HYE mix B,114677,2,peptide level,1
HYE mix A,10052,2,protein level,1
HYE mix B,10052,2,protein level,1
