PG.ProteinGroups,R.FileName,protein_intensity,R.Condition,R.Replicate,intensity_rank,raw_protein_intensity
A0PJW6,20230222_Exp...anual_MixA_TR1,16246.422869776565,A_manual,1,497,14933.4978594856
A0PJW6,20230222_Exp...anual_MixA_TR2,15784.905891026709,A_manual,2,511,14526.0887189485
A0PJW6,20230222_Exp...anual_MixA_TR3,16685.077321325596,A_manual,3,480,15424.7274134851
A0PJW6,20230222_Exp...anual_MixA_TR4,18735.705230206106,A_manual,4,439,17465.382176493302
A0PJW6,20230222_Exp...anual_MixB_TR1,14355.531476865288,B_manual,1,571,15614.4598503503
A0PJW6,20230222_Exp...anual_MixB_TR2,12414.753511799168,B_manual,2,637,13508.1467359369
A0PJW6,20230222_Exp...anual_MixB_TR3,15532.036454185798,B_manual,3,528,17063.2160169173
A0PJW6,20230222_Exp...anual_MixB_TR4,13183.154262248052,B_manual,4,609,14239.7092135034
A1X283,20230222_Exp...anual_MixA_TR1,6621.3659614920125,A_manual,1,954,6086.27235702204
A1X283,20230222_Exp...anual_MixA_TR2,6175.2605684376185,A_manual,2,975,5682.79491173543
A1X283,20230222_Exp...anual_MixA_TR3,6319.005515393571,A_manual,3,977,5841.68330312005
A1X283,20230222_Exp...anual_MixA_TR4,6628.683889725695,A_manual,4,929,6179.24417782644
A1X283,20230222_Exp...anual_MixB_TR1,5792.873309619429,B_manual,1,1018,6300.88742147845
A1X283,20230222_Exp...anual_MixB_TR2,5870.551492622345,B_manual,2,1021,6387.58320153903
A1X283,20230222_Exp...anual_MixB_TR3,6020.033637549631,B_manual,3,1002,6613.50072732639
