PG.ProteinGroups,20230222_Exp...anual_MixA_TR1,20230222_Exp...anual_MixA_TR2,20230222_Exp...anual_MixA_TR3,20230222_Exp...anual_MixA_TR4,20230222_Exp...anual_MixB_TR1,20230222_Exp...anual_MixB_TR2,20230222_Exp...anual_MixB_TR3,20230222_Exp...anual_MixB_TR4
A0PJW6,497,511,480,439,571,637,528,609
A1X283,954,975,977,929,1018,1021,1002,1025
A5Z2X5,24,23,25,24,80,81,79,86
L0R6Q1,294,314,296,334,382,400,402,401
L0R8F8,661,628,703,479,818,668,717,716
O00330,751,705,714,735,790,815,835,840
O00458,1287,1177,1176,1140,1276,1355,1317,1354
O00487,339,332,338,321,412,417,406,418
O00571,143,151,146,140,185,178,183,181
O00622,925,917,940,926,1058,999,1051,979
O13516,222,217,226,201,488,486,503,475
O13547,341,369,320,389,807,834,814,768
O14521,181,183,180,174,216,285,263,292
O14561,417,412,444,423,499,520,542,553
O14579,193,194,192,193,244,250,246,245
