R.FileName,R.Condition,R.Replicate,PG.ProteinGroups,iBAQ_intensities,PG.IBAQ_raw
20230222_Exp...anual_MixA_TR1,A_manual,1,A0PJW6,2537.4,2537.4
20230222_Exp...anual_MixA_TR1,A_manual,1,A1X283,1361.5,1361.5
20230222_Exp...anual_MixA_TR1,A_manual,1,A5Z2X5,82736.1,82736.1
20230222_Exp...anual_MixA_TR1,A_manual,1,L0R6Q1,33003.4,33003.4
20230222_Exp...anual_MixA_TR1,A_manual,1,L0R8F8,2669.7,2669.7
20230222_Exp...anual_MixA_TR1,A_manual,1,O00330,4721.1,4721.1
20230222_Exp...anual_MixA_TR1,A_manual,1,O00458,121.3,121.3
20230222_Exp...anual_MixA_TR1,A_manual,1,O00487,31489.5,31489.5
20230222_Exp...anual_MixA_TR1,A_manual,1,O00571,117313.4,117313.4
20230222_Exp...anual_MixA_TR1,A_manual,1,O00622,3771.2,3771.2
20230222_Exp...anual_MixA_TR1,A_manual,1,O13516,277582.3,277582.3
20230222_Exp...anual_MixA_TR1,A_manual,1,O13547,1905,1905
20230222_Exp...anual_MixA_TR1,A_manual,1,O14521,6462.5,6462.5
20230222_Exp...anual_MixA_TR1,A_manual,1,O14561,26804.5,26804.5
20230222_Exp...anual_MixA_TR1,A_manual,1,O14579,43005.4,43005.4
20230222_Exp...anual_MixA_TR1,A_manual,1,P21127;Q9UQ88,6179.5,6179.5;6179.5
